Y,X,Type,Hoshlds,GeoUID,AP(Cns),ShapeAr,CMA_UID,Popultn,CSD_UID,Dwllngs,PR_UID,CD_UID,ReginNm,Ar(skm),id
5042736.53718863,298756.606466239,CT,804,4620141.0000000000,1633,0.1199400000,"24462",1623,"2466023",920,"24","2466",Montr_al,0.1199400000,
5042567.95877116,298907.077317404,CT,854,4620142.0000000000,1585,0.1099600000,"24462",1657,"2466023",982,"24","2466",Montr_al,0.1099600000,
5042217.49136879,299255.824606629,CT,1416,4620143.0000000000,2224,0.1728400000,"24462",2418,"2466023",1604,"24","2466",Montr_al,0.1728400000,
5036534.33347893,297487.776172022,CT,1334,4620084.0000000000,2296,0.3444900000,"24462",2600,"2466023",1451,"24","2466",Montr_al,0.3444900000,
5036589.38370404,298518.482285232,CT,341,4620085.0000000000,825,1.2000800000,"24462",751,"2466023",397,"24","2466",Montr_al,1.2000800000,
5035473.54871205,298185.203546261,CT,2095,4620086.0000000000,3935,0.5271200000,"24462",4068,"2466023",2230,"24","2466",Montr_al,0.5271200000,
5035838.93932579,297570.299951333,CT,1581,4620087.0000000000,3416,0.2624000000,"24462",3406,"2466023",1718,"24","2466",Montr_al,0.2624000000,
5037624.30634628,297045.723916504,CT,1357,4620352.0000000000,3017,0.4883900000,"24462",3113,"2466032",1463,"24","2466",Westmount,0.4883900000,
5037916.56125475,296678.529231949,CT,1166,4620353.0000000000,2961,0.4142000000,"24462",2999,"2466032",1242,"24","2466",Westmount,0.4142000000,
5038388.88426666,296461.728051347,CT,1001,4620354.0000000000,3158,0.8105300000,"24462",3092,"2466032",1044,"24","2466",Westmount,0.8105300000,
5038881.22989444,297398.481691012,CT,672,4620355.0000000000,1387,0.3073400000,"24462",1573,"2466032",772,"24","2466",Westmount,0.3073400000,
5038911.70776376,296313.706280166,CT,653,4620356.0000000000,1996,1.0047300000,"24462",2026,"2466032",699,"24","2466",Westmount,1.0047300000,
5041193.29695,296956.1043,CT,624,4620360.0000000000,1934,1.4255200000,"24462",1923,"2466023",680,"24","2466",Montr_al,1.4255200000,
5041008.12837844,295741.21385686,CT,671,4620361.0000000000,1384,0.1125600000,"24462",1419,"2466023",833,"24","2466",Montr_al,0.1125600000,
5041707.45944719,296214.862262883,CT,834,4620362.0000000000,2551,0.5246000000,"24462",2366,"2466023",896,"24","2466",Montr_al,0.5246000000,
5042105.88569053,296923.657659355,CT,2075,4620363.0000000000,5012,0.3712000000,"24462",4936,"2466023",2308,"24","2466",Montr_al,0.3712000000,
5042758.37835,296039.846265,CT,962,4620364.0000000000,2935,0.2340800000,"24462",3112,"2466023",1059,"24","2466",Montr_al,0.2340800000,
5042486.35030097,295880.246186834,CT,1267,4620365.0000000000,2779,0.2480700000,"24462",3080,"2466023",1370,"24","2466",Montr_al,0.2480700000,
5044664.43396899,297156.522514234,CT,3024,4620209.0000000000,5572,0.6647300000,"24462",5819,"2466023",3255,"24","2466",Montr_al,0.6647300000,
5043935.41863968,297409.994985536,CT,2208,4620210.0000000000,3848,0.3264800000,"24462",3961,"2466023",2348,"24","2466",Montr_al,0.3264800000,
5044223.01342631,297047.908459572,CT,1267,4620211.0000000000,2277,0.1765200000,"24462",2281,"2466023",1329,"24","2466",Montr_al,0.1765200000,
5044387.59494722,296789.121854888,CT,1387,4620212.0000000000,2430,0.1939300000,"24462",2565,"2466023",1464,"24","2466",Montr_al,0.1939300000,
5044559.24302482,296518.756814817,CT,1344,4620213.0000000000,2528,0.1913600000,"24462",2664,"2466023",1417,"24","2466",Montr_al,0.1913600000,
5044122.29594167,296272.590949368,CT,1405,4620214.0000000000,2575,0.2537200000,"24462",2737,"2466023",1497,"24","2466",Montr_al,0.2537200000,
5043445.71801132,296722.815204398,CT,1247,4620216.0000000000,2197,0.3235600000,"24462",2233,"2466023",1332,"24","2466",Montr_al,0.3235600000,
5043490.34992902,295850.607077366,CT,1528,4620219.0000000000,2485,0.3125800000,"24462",2778,"2466023",1663,"24","2466",Montr_al,0.3125800000,
